variant,spec,n_patched_pairs,total_patches,sidecar_bytes,score,seg_term,pose_term,rate_term,delta,elapsed_sec
concentrated,top60_K30,60,1800,8050,0.3225654593135777,0.02927992163070788,0.0969170738176103,0.19636846386525955,-0.009406089101715198,21.984405994415283
concentrated,top100_K20,100,2000,9243,0.31885104783254303,0.02927992163070788,0.09240829260550086,0.1971628335963343,-0.013120500582749883,24.83554434776306
concentrated,top150_K15,150,2250,10586,0.3152266765123849,0.02927992163070788,0.08788967271129965,0.19805708217037737,-0.01674487190290802,36.3990683555603
concentrated,top200_K10,200,2000,9970,0.31139928105614767,0.02927992163070788,0.08447244637018565,0.19764691305525411,-0.020572267359145247,47.64040565490723
concentrated,top300_K7,300,2100,10788,0.30764412301132593,0.02927992163070788,0.08017261570171003,0.19819158567890804,-0.024327425403966985,74.26084518432617
concentrated,top60_K50,60,3000,12598,0.3255724952549052,0.02927992163070788,0.09689578324013816,0.1993967903840592,-0.006399053160387691,35.634021043777466
concentrated,top100_K30,100,3000,12830,0.32118255811148577,0.02927992163070788,0.09235136681959441,0.1995512696611835,-0.010788990303807144,35.82906627655029
ramp,Kmax20_Kmin2,600,6600,28231,0.31158762157510417,0.02927992163070788,0.07250153654617818,0.20980616339821812,-0.02038392684018875,172.35033464431763
ramp,Kmax25_Kmin3,600,8400,34543,0.31562639965445866,0.02927992163070788,0.07233741291342552,0.21400906511032525,-0.01634514876083426,168.87570691108704
ramp,Kmax15_Kmin3,600,5400,23961,0.30898795490746866,0.02927992163070788,0.07274508760837435,0.2069629456683864,-0.02298359350782425,160.0151116847992
proportional,scale700_clip30,600,12247,47898,0.32440344030100654,0.02927992163070788,0.07222190724102685,0.22290161142927184,-0.007568108114286376,173.64596819877625
proportional,scale500_clip25,600,9104,37073,0.31728716074129454,0.02927992163070788,0.07231355084886235,0.2156936882617243,-0.014684387673998378,149.84419226646423
proportional,scale400_clip20,600,7286,30777,0.3132498973883932,0.02927992163070788,0.07246853546481816,0.21150144029286716,-0.01872165102689971,196.09974312782288
