spec,pairs,K_total,sidecar_bytes,score,pose_term,delta,elapsed
A_top400_K7+tail200_K3,600,3400,16697,0.3059162132902369,0.07453218599025757,-0.025899098998654058,132.84057593345642
B_top400_K7+tail200_K4,600,3600,17514,0.3064302304514459,0.07450219638676576,-0.025385081837445034,140.3675515651703
C_top500_K6+tail100_K3,600,3300,16259,0.306547069862674,0.07545468878416216,-0.025268242426216947,139.30283308029175
D_top600_K6_uniform,600,3600,17369,0.3072806919378909,0.07544920742141353,-0.024534620351000014,141.27045035362244
E_top600_K5_uniform,600,3000,15094,0.30693853333424875,0.07662187793612432,-0.024876778954642187,143.10668849945068
F_top300_K8+next200_K5+tail100_K3,600,3700,17797,0.3060951884186085,0.07397871627019481,-0.02572012387028244,142.90631532669067
G_top400_K8+tail200_K3,600,3800,18119,0.30631727085539234,0.07398639212407329,-0.025498041433498597,144.10038995742798
H_top400_K7+tail200_K2,600,3200,15948,0.3054763898161981,0.0745910908721073,-0.026338922472692816,139.78656458854675
I_top500_K7+tail100_K3,600,3800,18197,0.3068765182520143,0.07449370252235174,-0.024938794036876655,144.25674271583557
