scheme,compressed_bytes,score,delta_vs_bz2
baseline_per_stream_bz2,8670,0.30224470810218496,0
lzma_p6_combined,7872,0.30171335265759336,-0.0005313554445915969
lzma_p9_combined,7872,0.30171335265759336,-0.0005313554445915969
lzma_p6_e_combined,7924,0.3017479773231557,-0.0004967307790292308
lzma_p9_e_combined,7924,0.3017479773231557,-0.0004967307790292308
lzma_p9e_lc2_pb0_lp0,7988,0.30179059229615557,-0.00045411580602938706
bz2_l1_combined,8711,0.30227200831926293,2.7300217077974587e-05
bz2_l5_combined,8711,0.30227200831926293,2.7300217077974587e-05
bz2_l9_combined,8711,0.30227200831926293,2.7300217077974587e-05
zopfli_n15,8816,0.30234192350934075,9.721540715579291e-05
zstd_l19_combined,8951,0.30243181446801226,0.00018710636582730533
zstd_l22_combined,8951,0.30243181446801226,0.00018710636582730533
zstd_l22_long,8951,0.30243181446801226,0.00018710636582730533
zstd_l9_combined,8991,0.3024584488261371,0.00021374072395213828
zlib_l9_combined,9033,0.30248641490216827,0.00024170679998331002
zlib_l6_combined,9034,0.3024870807611214,0.00024237265893645166
