codec,scale,width,height,crf,preset,gop,archive_size_bytes,rate,segnet_dist,posenet_dist,segnet_score,posenet_score,rate_score,total_score,elapsed_seconds,status
svtav1,512x384,512,384,28,0,180,1307569,0.03482626,0.00476908,0.29457784,0.4769,1.7163,0.8707,3.0639,210.2,ok
svtav1,512x384,512,384,28,0,300,,,,,,,,,161.4,"inflate_failed: Traceback (most recent call last):
  File ""<frozen runpy>"", line 198, in _run_module_as_main
  File "
svtav1,512x384,512,384,28,0,300,1327189,0.03534883,0.00479385,0.30199289,0.4794,1.7378,0.8837,3.1009,191.7,ok
svtav1,512x384,512,384,30,0,180,1089841,0.02902722,0.00503653,0.31277847,0.5037,1.7686,0.7257,2.9979,159.8,ok
svtav1,512x384,512,384,30,0,300,1106635,0.02947451,0.00493717,0.34287581,0.4937,1.8517,0.7369,3.0823,176.3,ok
svtav1,512x384,512,384,32,0,180,892981,0.02378398,0.00534231,0.36868420,0.5342,1.9201,0.5946,3.0489,156.9,ok
svtav1,512x384,512,384,32,0,300,909885,0.02423420,0.00526711,0.37139028,0.5267,1.9271,0.6059,3.0597,163.7,ok
svtav1,512x384,512,384,35,0,180,707220,0.01883635,0.00585914,0.41061676,0.5859,2.0264,0.4709,3.0832,135.9,ok
svtav1,512x384,512,384,35,0,300,718411,0.01913442,0.00584750,0.40218550,0.5847,2.0055,0.4784,3.0686,136.7,ok
svtav1,522x392,522,392,28,0,180,1480640,0.03943590,0.00464971,0.33269030,0.4650,1.8240,0.9859,3.2748,168.5,ok
svtav1,522x392,522,392,28,0,300,1504206,0.04006356,0.00463103,0.32358617,0.4631,1.7989,1.0016,3.2635,171.0,ok
svtav1,522x392,522,392,30,0,180,1232512,0.03282717,0.00484364,0.31751451,0.4844,1.7819,0.8207,3.0869,151.0,ok
svtav1,522x392,522,392,30,0,300,1249824,0.03328826,0.00482606,0.32578573,0.4826,1.8050,0.8322,3.1198,163.3,ok
svtav1,522x392,522,392,32,0,180,1001107,0.02666384,0.00520122,0.34674200,0.5201,1.8621,0.6666,3.0488,143.2,ok
svtav1,522x392,522,392,32,0,300,1021604,0.02720977,0.00517188,0.35869390,0.5172,1.8939,0.6802,3.0914,151.6,ok
svtav1,522x392,522,392,35,0,180,779649,0.02076545,0.00562691,0.35408214,0.5627,1.8817,0.5191,2.9635,130.3,ok
svtav1,522x392,522,392,35,0,300,795535,0.02118856,0.00562550,0.37546605,0.5626,1.9377,0.5297,3.0300,128.8,ok
svtav1,480x360,480,360,28,0,180,1148881,0.03059971,0.00502489,0.35803196,0.5025,1.8922,0.7650,3.1597,131.9,ok
svtav1,480x360,480,360,28,0,300,1165671,0.03104690,0.00493195,0.36931697,0.4932,1.9218,0.7762,3.1911,137.6,ok
svtav1,480x360,480,360,30,0,180,974612,0.02595817,0.00522981,0.32439110,0.5230,1.8011,0.6490,2.9730,125.1,ok
svtav1,480x360,480,360,30,0,300,985635,0.02625176,0.00522335,0.38852021,0.5223,1.9711,0.6563,3.1497,129.6,ok
svtav1,480x360,480,360,32,0,180,809215,0.02155292,0.00558569,0.36824414,0.5586,1.9190,0.5388,3.0164,120.8,ok
svtav1,480x360,480,360,32,0,300,818569,0.02180206,0.00559048,0.40703979,0.5590,2.0175,0.5451,3.1216,124.3,ok
svtav1,480x360,480,360,35,0,180,645958,0.01720468,0.00611881,0.37033981,0.6119,1.9244,0.4301,2.9664,110.8,ok
svtav1,480x360,480,360,35,0,300,654704,0.01743762,0.00600119,0.38396063,0.6001,1.9595,0.4359,2.9956,114.4,ok
svtav1,440x330,440,330,28,0,180,1022364,0.02723001,0.00531270,0.36272955,0.5313,1.9045,0.6808,3.1166,123.3,ok
svtav1,440x330,440,330,28,0,300,1040411,0.02771068,0.00517036,0.38626131,0.5170,1.9654,0.6928,3.1752,154.8,ok
svtav1,440x330,440,330,30,0,180,869950,0.02317056,0.00555166,0.38571057,0.5552,1.9640,0.5793,3.0984,134.7,ok
svtav1,440x330,440,330,30,0,300,883038,0.02351915,0.00547816,0.38858309,0.5478,1.9713,0.5880,3.1070,135.4,ok
svtav1,440x330,440,330,32,0,180,727228,0.01936925,0.00584721,0.41137969,0.5847,2.0282,0.4842,3.0972,131.2,ok
svtav1,440x330,440,330,32,0,300,736926,0.01962755,0.00579269,0.37300465,0.5793,1.9313,0.4907,3.0013,138.6,ok
svtav1,440x330,440,330,35,0,180,583983,0.01555401,0.00632891,0.39191538,0.6329,1.9797,0.3889,3.0014,135.8,ok
svtav1,440x330,440,330,35,0,300,592313,0.01577588,0.00629244,0.37816855,0.6292,1.9447,0.3944,2.9683,130.8,ok
